"party_riding_name","riding_name","riding_id"
"Bloc Québécois Hochelaga","Hochelaga",24021
"Hochelaga Federal NDP Riding Association","Hochelaga",24021
"Association de circonscription NPD de Honoré--Mercier","Honoré-Mercier",24022
"Honoré-Mercier Conservative Association","Honoré-Mercier",24022
"Honoré-Mercier Federal Liberal Association","Honoré-Mercier",24022
"Hull--Aylmer Federal NDP Riding Association","Hull—Aylmer",24023
"Hull--Aylmer Federal Liberal Association","Hull—Aylmer",24023
"Association du Bloc Québécois de Hull--Aylmer","Hull—Aylmer",24023
"Association du Parti conservateur Hull--Aylmer","Hull—Aylmer",24023
"Hull--Aylmer Green Party Association","Hull—Aylmer",24023
"Humber--St. Barbe--Baie Verte Conservative Association","Humber—St. Barbe—Baie Verte",10003
"Humber--St. Barbe--Baie Verte Federal Liberal Association","Humber—St. Barbe—Baie Verte",10003
"Huron--Bruce GPC EDA","Huron—Bruce",35034
"Huron--Bruce Federal NDP Riding Association","Huron—Bruce",35034
"Huron--Bruce Federal Liberal Association","Huron—Bruce",35034
"Huron--Bruce Conservative Association","Huron—Bruce",35034
"Jeanne-Le Ber Federal Liberal Association","Jeanne-Le Ber",24024
"Association du Bloc Québécois de Jeanne-Le Ber","Jeanne-Le Ber",24024
"Green Party of Canada EDA Jeanne-Le Ber","Jeanne-Le Ber",24024
"Jeanne-Le Ber Conservative Party Riding Association","Jeanne-Le Ber",24024
"NDP Jeanne--Le Ber Electoral District Association","Jeanne-Le Ber",24024
"Joliette Federal NDP Riding Association","Joliette",24025
"Joliette Federal Liberal Association","Joliette",24025
"Bloc Québécois de Joliette","Joliette",24025
"Association du Parti conservateur Joliette","Joliette",24025
"Association du Parti Vert du Canada de Joliette","Joliette",24025
"Jonquière--Alma Federal NDP Riding Association","Jonquière—Alma",24026
"Association libérale fédérale de Jonquière--Alma","Jonquière—Alma",24026
"Association du Parti conservateur Jonquière--Alma","Jonquière—Alma",24026
"Bloc Québécois Jonquière--Alma","Jonquière—Alma",24026
"Kamloops--Thompson--Cariboo Federal Liberal Association","Kamloops—Thompson—Cariboo",59010
"Kamloops--Thompson--Cariboo Conservative Association","Kamloops—Thompson—Cariboo",59010
"Kamloops--Thompson--Cariboo Federal NDP Riding Association","Kamloops—Thompson—Cariboo",59010
"Kelowna--Lake Country Federal Liberal Association","Kelowna—Lake Country",59011
"Kelowna--Lake Country Federal NDP Riding Association","Kelowna—Lake Country",59011
"Kelowna--Lake Country Conservative Association","Kelowna—Lake Country",59011
"Kenora Conservative Association","Kenora",35035
"Kenora Federal NDP Riding Association","Kenora",35035
"Kenora Federal Liberal Association","Kenora",35035
"Kildonan--St. Paul Federal Liberal Association","Kildonan—St. Paul",46006
"Kildonan--St. Paul Federal NDP Riding Association","Kildonan—St. Paul",46006
"Kildonan--St. Paul Conservative Association","Kildonan—St. Paul",46006
"Kings--Hants Conservative Association","Kings—Hants",12006
"Kings--Hants Federal NDP Riding Association","Kings—Hants",12006
"Kings--Hants Federal Liberal Association","Kings—Hants",12006
"Kingston and the Islands Conservative Association","Kingston and the Islands",35036
"Kingston and the Islands Green Party","Kingston and the Islands",35036
"Kingston and the Islands Federal Liberal Association","Kingston and the Islands",35036
"Kingston and the Islands NDP Federal Riding Association","Kingston and the Islands",35036
"Kitchener Centre Federal NDP Riding Association","Kitchener Centre",35037
"Kitchener Centre Conservative Association","Kitchener Centre",35037
"Kitchener Centre Federal Green Party Association","Kitchener Centre",35037
"Kitchener Centre Federal Liberal Association","Kitchener Centre",35037
"Kitchener--Conestoga Federal Green Party Association","Kitchener—Conestoga",35038
"Kitchener--Conestoga Federal NDP Riding Association","Kitchener—Conestoga",35038
"Kitchener--Conestoga Federal Liberal Association","Kitchener—Conestoga",35038
"Kitchener--Conestoga Conservative Association","Kitchener—Conestoga",35038
"Kitchener--Waterloo Federal Green Party Association","Kitchener—Waterloo",35039
"Kitchener--Waterloo Conservative Association","Kitchener—Waterloo",35039
"Kitchener--Waterloo Federal NDP Riding Association","Kitchener—Waterloo",35039
"Kitchener--Waterloo Federal Liberal Association","Kitchener—Waterloo",35039
"Kootenay--Columbia Federal NDP Riding Association","Kootenay—Columbia",59012
"Kootenay--Columbia Greens Electoral District Association","Kootenay—Columbia",59012
"Kootenay--Columbia Federal Liberal Association","Kootenay—Columbia",59012
"Kootenay--Columbia Conservative Association","Kootenay—Columbia",59012
"Association libérale fédérale de La Pointe-de-l'Île","La Pointe-de-l'Île",24028
"NDP Association La Pointe-de-L'Île","La Pointe-de-l'Île",24028
"Bloc Québécois La Pointe-de-l'Île","La Pointe-de-l'Île",24028
"Labrador Conservative Association","Labrador",10004
"Labrador Federal Liberal Association","Labrador",10004
"Lac-Saint-Louis Federal Liberal Association","Lac-Saint-Louis",24027
"Green Party of Canada Lac-Saint-Louis Electoral District Association","Lac-Saint-Louis",24027
"Lac-Saint-Louis Federal NDP Riding Association","Lac-Saint-Louis",24027
"Conservative Party of Canada Lac-Saint-Louis Electoral District Association","Lac-Saint-Louis",24027
"Lambton--Kent--Middlesex Conservative Association","Lambton—Kent—Middlesex",35046
"Lambton--Kent--Middlesex Federal Liberal Association","Lambton—Kent—Middlesex",35046
"Lambton--Kent--Middlesex Federal NDP Riding Association","Lambton—Kent—Middlesex",35046
"Lambton--Kent--Middlesex Federal Green Party Association","Lambton—Kent—Middlesex",35046
"Lanark--Frontenac--Lennox and Addington Federal NDP Riding Association","Lanark—Frontenac—Lennox and Addington",35040
"Lanark--Frontenac--Lennox and Addington Green Party of Canada Electoral District Association","Lanark—Frontenac—Lennox and Addington",35040
"Lanark--Frontenac--Lennox and Addington Conservative Association","Lanark—Frontenac—Lennox and Addington",35040
"Lanark--Frontenac--Lennox and Addington Federal Liberal Association","Lanark—Frontenac—Lennox and Addington",35040
"Conservative Party of Canada Langley Electoral District Association","Langley",59013
"Langley Federal Liberal Association","Langley",59013
"Green Party of Canada Langley","Langley",59013
"Langley Federal NDP Riding Association","Langley",59013
"Liberal Federal Association of LaSalle--Émard","LaSalle—Émard",24029
"Association du Parti conservateur LaSalle--Émard","LaSalle—Émard",24029
"LaSalle--Émard Federal NDP Riding Association","LaSalle—Émard",24029
"NPD Laurentides--Labelle","Laurentides—Labelle",24030
"Association du Parti conservateur Laurentides--Labelle","Laurentides—Labelle",24030
"Laurentides--Labelle Federal Liberal Association","Laurentides—Labelle",24030
"Association du Bloc Québécois Laurentides--Labelle","Laurentides—Labelle",24030
"Association du Bloc Québécois de Laurier--Sainte-Marie","Laurier—Sainte-Marie",24031
"Laurier--Sainte-Marie Federal Green Party Association","Laurier—Sainte-Marie",24031
"Association libérale fédérale de Laurier--Sainte-Marie","Laurier—Sainte-Marie",24031
"Laurier--Sainte-Marie Federal NDP Riding Association","Laurier—Sainte-Marie",24031
"Association du Parti conservateur Laurier--Sainte-Marie","Laurier—Sainte-Marie",24031
"L'Association du Parti Vert du Canada de Laval","Laval",24032
"Bloc Québécois de Laval","Laval",24032
"Laval Federal Liberal Association","Laval",24032
"Association du Parti conservateur Laval","Laval",24032
"NDP Laval","Laval",24032
"Laval--Les Îles Federal Liberal Association","Laval—Les Îles",24033
"Laval--Les Îles Conservative Association","Laval—Les Îles",24033
"Laval--Les Îles Federal NDP Riding Association","Laval—Les Îles",24033
"Association du Parti Vert du Canada de Laval--Les Îles","Laval—Les Îles",24033
"Bloc Québécois Laval--Les Îles","Laval—Les Îles",24033
"Leeds--Grenville Federal NDP Riding Association","Leeds—Grenville",35041
"Leeds--Grenville Conservative Association","Leeds—Grenville",35041
"Leeds--Grenville Federal Green Party Association","Leeds—Grenville",35041
"Leeds--Grenville Federal Liberal Association","Leeds—Grenville",35041
"Lethbridge Federal NDP Electoral District Association","Lethbridge",48019
"Lethbridge Conservative Association","Lethbridge",48019
"Lethbridge Federal Liberal Association","Lethbridge",48019
"Association de Lévis--Bellechasse du Parti Vert du Canada","Lévis—Bellechasse",24034
"Bloc Québécois de Lévis--Bellechasse","Lévis—Bellechasse",24034
"Lévis--Bellechasse Federal Liberal Association","Lévis—Bellechasse",24034
"Association du Parti conservateur Lévis--Bellechasse","Lévis—Bellechasse",24034
"London North Centre Federal Liberal Association","London North Centre",35043
"London North Centre Federal NDP Riding Association","London North Centre",35043
"London North Centre Conservative Association","London North Centre",35043
"London North Centre Federal Green Party Association","London North Centre",35043
"London West Federal Green Party Association","London West",35044
"London West Federal Liberal Association","London West",35044
"London West Conservative Association","London West",35044
"London West Federal NDP Riding Association","London West",35044
"London--Fanshawe Conservative Association","London—Fanshawe",35042
"London--Fanshawe Greens","London—Fanshawe",35042
"London--Fanshawe Federal Liberal Association","London—Fanshawe",35042
"London--Fanshawe Federal NDP Riding Association","London—Fanshawe",35042
"Bloc Québécois de Longueuil--Pierre-Boucher","Longueuil—Pierre-Boucher",24035
"Longueuil--Pierre-Boucher Conservative Association","Longueuil—Pierre-Boucher",24035
"Longueuil--Pierre Boucher Federal Liberal Association","Longueuil—Pierre-Boucher",24035
"Longueuil--Pierre-Boucher NDP Riding Association","Longueuil—Pierre-Boucher",24035
"Lotbinière--Chutes-de-la-Chaudière Conservative Association","Lotbinière—Chutes-de-la-Chaudière",24036
"Association libérale fédérale de Lotbinière--Chutes-de-la-Chaudière","Lotbinière—Chutes-de-la-Chaudière",24036
"Lotbinière--Chutes-de-la-Chaudière Federal NDP Riding Association","Lotbinière—Chutes-de-la-Chaudière",24036
"Association du Bloc Québécois de Lotbinière--Chutes-de-la-Chaudière","Lotbinière—Chutes-de-la-Chaudière",24036
"Louis-Hébert Federal NDP Riding Association","Louis-Hébert",24037
"Louis-Hébert Conservative Association","Louis-Hébert",24037
"Association libérale fédérale de Louis-Hébert","Louis-Hébert",24037
"Bloc Québécois de Louis-Hébert","Louis-Hébert",24037
"Association libérale fédérale de Louis-Saint-Laurent","Louis-Saint-Laurent",24038
"Association NPD Louis-Saint-Laurent","Louis-Saint-Laurent",24038
"Association Bloc Québécois Louis-Saint-Laurent","Louis-Saint-Laurent",24038
"Association du Parti conservateur Louis-Saint-Laurent","Louis-Saint-Laurent",24038
"Macleod Federal Green Party Association","Macleod",48020
"Macleod Federal Liberal Association","Macleod",48020
"Macleod Federal NDP Riding Association","Macleod",48020
"Macleod Conservative Electoral District Association","Macleod",48020
"Madawaska--Restigouche Federal NDP Riding Association","Madawaska—Restigouche",13005
"Madawaska--Restigouche Conservative Association","Madawaska—Restigouche",13005
"Madawaska--Restigouche Federal Liberal Association","Madawaska—Restigouche",13005
"Malpeque Conservative Association","Malpeque",11004
"Malpeque Green Party Electoral District Association","Malpeque",11004
"Malpeque Federal Green Party Association","Malpeque",11004
"NDP Malpeque Federal Riding Association","Malpeque",11004
"Malpeque Federal Liberal Association","Malpeque",11004
"Manicouagan Conservative Association","Manicouagan",24039
"Association libérale fédérale de Manicouagan","Manicouagan",24039
"Bloc Québécois de Manicouagan","Manicouagan",24039
"Manicouagan Federal NDP Riding Association","Manicouagan",24039
"Marc-Aurèle-Fortin Conservative Association","Marc-Aurèle-Fortin",24040
"NPD Marc-Aurèle-Fortin","Marc-Aurèle-Fortin",24040
"Bloc Québécois de Marc-Aurèle-Fortin","Marc-Aurèle-Fortin",24040
"Association libérale fédérale de Marc-Aurèle-Fortin","Marc-Aurèle-Fortin",24040
"Markham--Unionville Federal Green Party Association","Markham—Unionville",35045
"Markham--Unionville Federal Liberal Association","Markham—Unionville",35045
"Markham--Unionville Federal NDP Riding Association","Markham—Unionville",35045
"Markham--Unionville Conservative Association","Markham—Unionville",35045
"Medicine Hat Federal NDP Riding Association","Medicine Hat",48021
"Green Party of Canada Medicine Hat EDA","Medicine Hat",48021
"Medicine Hat Federal Liberal Association","Medicine Hat",48021
"Medicine Hat Conservative Association","Medicine Hat",48021
"Association du Parti conservateur Mégantic--L'Érable","Mégantic—L'Érable",24042
"Association libérale fédérale de Mégantic--L'Érable","Mégantic—L'Érable",24042
"Bloc Québécois Mégantic--L'Érable","Mégantic—L'Érable",24042
"Association NPD pour la circonscription de Mégantic--L'Érable","Mégantic—L'Érable",24042
"Miramichi Federal Liberal Association","Miramichi",13006
"Miramichi Conservative Association","Miramichi",13006
"Miramichi Federal NDP Riding Association","Miramichi",13006
"Mississauga East--Cooksville Federal NDP Riding Association","Mississauga East—Cooksville",35048
"Mississauga East--Cooksville Federal Liberal Association","Mississauga East—Cooksville",35048
"Mississauga East--Cooksville Conservative Association","Mississauga East—Cooksville",35048
"Mississauga South Federal Liberal Association","Mississauga South",35050
"Mississauga South Conservative Association","Mississauga South",35050
"Mississauga South GPC EDA","Mississauga South",35050
"Mississauga South Green Party of Canada","Mississauga South",35050
"Mississauga South Federal NDP Riding Association","Mississauga South",35050
"Mississauga--Brampton South Federal NDP Riding Association","Mississauga—Brampton South",35047
"Mississauga--Brampton South Greens","Mississauga—Brampton South",35047
"Mississauga--Brampton South Federal Liberal Riding Association","Mississauga—Brampton South",35047
"Mississauga--Brampton South Conservative Association","Mississauga—Brampton South",35047
"Mississauga--Erindale Federal Liberal Association","Mississauga—Erindale",35049
"Mississauga--Erindale Federal NDP Riding Association","Mississauga—Erindale",35049
"Mississauga--Erindale Conservative Association","Mississauga—Erindale",35049
"Mississauga--Streetsville Federal NDP Riding Association","Mississauga—Streetsville",35051
"Mississauga--Streetsville Conservative Association","Mississauga—Streetsville",35051
"Mississauga--Streetsville Federal Liberal Riding Association","Mississauga—Streetsville",35051
"Mississauga--Streetsville Federal Green Party Association","Mississauga—Streetsville",35051
"Mississauga--Streetsville Federal Liberal Association","Mississauga—Streetsville",35051
"Moncton--Riverview--Dieppe Green Party Association","Moncton—Riverview—Dieppe",13007
"Moncton--Riverview--Dieppe Federal NDP Riding Association","Moncton—Riverview—Dieppe",13007
"Moncton--Riverview--Dieppe Federal Liberal Association","Moncton—Riverview—Dieppe",13007
"Moncton--Riverview--Dieppe Conservative Association","Moncton—Riverview—Dieppe",13007
"Association libérale fédérale de Montcalm","Montcalm",24043
"NPD Montcalm","Montcalm",24043
"Association du Parti conservateur Montcalm","Montcalm",24043
"Association de circonscription du Bloc Québécois Montcalm","Montcalm",24043
"NPD Montmagny--L'Islet--Kamouraska--Rivière-du-Loup","Montmagny—L'Islet—Kamouraska—Rivière-du-Loup",24058
"Association du Parti conservateur Montmagny--L'Islet--Kamouraska--Rivière-du-Loup","Montmagny—L'Islet—Kamouraska—Rivière-du-Loup",24058
"Association libérale fédérale de Montmagny--L'Islet--Kamouraska--Rivière-du-Loup","Montmagny—L'Islet—Kamouraska—Rivière-du-Loup",24058
"Bloc Québécois de Montmagny--L'Islet--Kamouraska--Rivière-du-Loup","Montmagny—L'Islet—Kamouraska—Rivière-du-Loup",24058
"Montmorency--Charlevoix--Haute-Côte-Nord Conservative Association","Montmorency—Charlevoix—Haute-Côte-Nord",24014
"NPD Montmorency--Charlevoix--Haute-Côte-Nord","Montmorency—Charlevoix—Haute-Côte-Nord",24014
"Association libérale fédérale de Montmorency--Charlevoix--Haute-Côte-Nord","Montmorency—Charlevoix—Haute-Côte-Nord",24014
"Association du Bloc Québécois de Montmorency--Charlevoix--Haute-Côte-Nord","Montmorency—Charlevoix—Haute-Côte-Nord",24014
"Association de circonscription NPD de Mont-Royal","Mount Royal",24044
"Mount Royal Federal Liberal Association","Mount Royal",24044
"Mount Royal Conservative Association","Mount Royal",24044
"Nanaimo--Alberni Federal NDP Riding Association","Nanaimo—Alberni",59014
"Nanaimo--Alberni Federal Liberal Association","Nanaimo—Alberni",59014
"Nanaimo--Alberni Conservative Association","Nanaimo—Alberni",59014
"Nanaimo--Alberni Federal Green Party Association","Nanaimo—Alberni",59014
"Nanaimo--Cowichan Conservative Association","Nanaimo—Cowichan",59015
"Nanaimo--Cowichan Federal NDP Electoral District Association","Nanaimo—Cowichan",59015
"Nanaimo--Cowichan Federal Green Party Association","Nanaimo—Cowichan",59015
"Nanaimo--Cowichan Federal Liberal Association","Nanaimo—Cowichan",59015
"Nepean--Carleton Conservative Association","Nepean—Carleton",35052
"Nepean--Carleton Federal Liberal Association","Nepean—Carleton",35052
"Nepean--Carleton Federal NDP Riding Association","Nepean—Carleton",35052
"Nepean--Carleton Green Party of Canada EDA","Nepean—Carleton",35052
"New Brunswick Southwest Federal Green Party Association","New Brunswick Southwest",13008
"New Brunswick Southwest Conservative Association","New Brunswick Southwest",13008
"New Brunswick Southwest NDP","New Brunswick Southwest",13008
"New Brunswick Southwest Federal Liberal Association","New Brunswick Southwest",13008
"New Westminster--Coquitlam Green Party Electoral District Association","New Westminster—Coquitlam",59017
"New Westminster--Coquitlam Federal NDP Riding Association","New Westminster—Coquitlam",59017
"New Westminster--Coquitlam CPC EDA","New Westminster—Coquitlam",59017
"New Westminster--Coquitlam Federal Liberal Association","New Westminster—Coquitlam",59017
"Newmarket--Aurora Federal Green Party Association","Newmarket—Aurora",35053
"Newmarket--Aurora Federal Liberal Association","Newmarket—Aurora",35053
"Newmarket--Aurora Conservative Association","Newmarket—Aurora",35053
"Newmarket--Aurora New Democratic Party Electoral District Association","Newmarket—Aurora",35053
"Newmarket--Aurora New Democratic Party Federal Riding Association","Newmarket—Aurora",35053
"Newton--North Delta Federal Liberal Electoral District Association","Newton—North Delta",59016
"Newton--North Delta Federal Green Party Association","Newton—North Delta",59016
"Newton--North Delta Conservative Association","Newton—North Delta",59016
"Newton--North Delta Federal NDP Riding Association","Newton—North Delta",59016
"Niagara Falls Federal NDP Riding Association","Niagara Falls",35054
"Niagara Falls Federal Liberal Association","Niagara Falls",35054
"Niagara Falls Conservative Electoral District Association","Niagara Falls",35054
"Niagara Falls Federal Green Party Association","Niagara Falls",35054
"Niagara West--Glanbrook Conservative Association","Niagara West—Glanbrook",35055
"Niagara West--Glanbrook Federal NDP Riding Association","Niagara West—Glanbrook",35055
"Niagara West--Glanbrook Federal Green Party Association","Niagara West—Glanbrook",35055
"Niagara West--Glanbrook Federal Liberal Association","Niagara West—Glanbrook",35055
"Nickel Belt Federal Liberal Association","Nickel Belt",35056
"Nickel Belt Conservative Association","Nickel Belt",35056
"Nickel Belt Federal NDP Riding Association","Nickel Belt",35056
"Nipissing--Timiskaming Federal New Democratic Party Electoral District Association","Nipissing—Timiskaming",35057
"Nipissing--Timiskaming Conservative Association","Nipissing—Timiskaming",35057
"Nipissing--Timiskaming Federal NDP Riding Association","Nipissing—Timiskaming",35057
"Nipissing--Timiskaming Federal Green Party Association","Nipissing—Timiskaming",35057
"Nipissing--Timiskaming Federal Liberal Association","Nipissing—Timiskaming",35057
"North Vancouver Conservative Association","North Vancouver",59019
"North Vancouver Federal NDP Riding Association","North Vancouver",59019
"North Vancouver Federal Green Party Association","North Vancouver",59019
"North Vancouver Federal Liberal Association","North Vancouver",59019
"Northumberland--Quinte West Federal NDP Riding Association","Northumberland—Quinte West",35058
"Northumberland--Quinte West Conservative Association","Northumberland—Quinte West",35058
"Northumberland--Quinte West Green Party of Canada","Northumberland—Quinte West",35058
"Northumberland--Quinte West Federal Liberal Association","Northumberland—Quinte West",35058
"Notre-Dame-de-Grâce--Lachine Green Party of Canada Electoral District Association","Notre-Dame-de-Grâce—Lachine",24045
"Notre-Dame-de-Grâce--Lachine Federal Liberal Association","Notre-Dame-de-Grâce—Lachine",24045
"Notre-Dame-De-Grâce--Lachine Federal NDP Riding Association","Notre-Dame-de-Grâce—Lachine",24045
"Association du Parti conservateur Notre-Dame-de-Grâce--Lachine","Notre-Dame-de-Grâce—Lachine",24045
"Conservative Party of Canada Nunavut Electoral District Association","Nunavut",62001
"Nunavut Federal Liberal Association","Nunavut",62001
"Oak Ridges--Markham GPC EDA","Oak Ridges—Markham",35059
"Oak Ridges--Markham Conservative Association","Oak Ridges—Markham",35059
"Oak Ridges--Markham Federal NDP Riding Association","Oak Ridges—Markham",35059
"Oak Ridges--Markham Federal Liberal Association","Oak Ridges—Markham",35059
"Oakville Federal Green Party Association","Oakville",35060
"Oakville Federal NDP Riding Association","Oakville",35060
"Oakville Federal Liberal Association","Oakville",35060
"Oakville Conservative Association","Oakville",35060
"Okanagan--Coquihalla Conservative Association","Okanagan—Coquihalla",59020
"Okanagan-Coquihalla Federal NDP Riding Association","Okanagan—Coquihalla",59020
"Okanagan--Coquihalla Federal Liberal Riding Association","Okanagan—Coquihalla",59020
"Okanagan--Shuswap Federal NDP Riding Association","Okanagan—Shuswap",59018
"Okanagan--Shuswap Conservative Association","Okanagan—Shuswap",59018
"Okanagan--Shuswap Federal Liberal Association","Okanagan—Shuswap",59018
"Okanagan--Shuswap Federal Green Party Association","Okanagan—Shuswap",59018
"Oshawa Federal Liberal Association","Oshawa",35061
"Oshawa Conservative Association","Oshawa",35061
"Oshawa Federal NDP Riding Association","Oshawa",35061
"Oshawa Federal Green Party Association","Oshawa",35061
"Ottawa Centre Federal Green Party Association","Ottawa Centre",35062
"Ottawa Centre Conservative Association","Ottawa Centre",35062
"Ottawa Centre Federal NDP Riding Association","Ottawa Centre",35062
"Ottawa Centre Federal Liberal Association","Ottawa Centre",35062
"Green Party of Canada Ottawa South","Ottawa South",35064
"Ottawa South Federal NDP","Ottawa South",35064
"Ottawa South Federal Liberal Association","Ottawa South",35064
"Ottawa South Conservative Association","Ottawa South",35064
"Ottawa West--Nepean Federal Liberal Association","Ottawa West—Nepean",35066
"Ottawa West--Nepean Green Party","Ottawa West—Nepean",35066
"Ottawa West--Nepean Conservative Association","Ottawa West—Nepean",35066
"Ottawa West--Nepean Federal NDP Riding Association","Ottawa West—Nepean",35066
"Conservative Party of Canada Electoral District Association Ottawa--Orléans","Ottawa—Orléans",35063
"Ottawa--Orléans Federal NDP Riding Association","Ottawa—Orléans",35063
"Green Party Ottawa--Orléans Association","Ottawa—Orléans",35063
"Ottawa--Orléans Federal Liberal Association","Ottawa—Orléans",35063
"Ottawa--Vanier Federal NDP Riding Association","Ottawa—Vanier",35065
"Ottawa--Vanier Federal Green Party Association","Ottawa—Vanier",35065
"Ottawa--Vanier Federal Liberal Association","Ottawa—Vanier",35065
"Ottawa--Vanier Conservative Association","Ottawa—Vanier",35065
"Outremont Conservative Association","Outremont",24047
"Association libérale fédérale d'Outremont","Outremont",24047
"Association d'Outremont du Parti Vert du Canada","Outremont",24047
"Outremont Federal NDP Riding Association","Outremont",24047
"Oxford Federal Liberal Riding Association","Oxford",35067
"Oxford Federal Green Party Association","Oxford",35067
"Oxford Federal NDP Riding Association","Oxford",35067
"Oxford Federal Conservative Electoral District Association","Oxford",35067
"Palliser Conservative Association","Palliser",47005
"Palliser Federal Liberal Association","Palliser",47005
"Palliser Federal NDP Riding Association","Palliser",47005
"Papineau Conservative Association","Papineau",24048
"Papineau Federal Green Party Association","Papineau",24048
"Association libérale fédérale de Papineau","Papineau",24048
"Papineau Federal NDP Riding Association","Papineau",24048
"Parkdale--High Park Federal NDP Riding Association","Parkdale—High Park",35068
"Parkdale--High Park Federal Green Party Association","Parkdale—High Park",35068
"Parkdale--High Park Federal Liberal Association","Parkdale—High Park",35068
"Parkdale--High Park Conservative Association","Parkdale—High Park",35068
"Parry Sound--Muskoka Federal Liberal Association","Parry Sound—Muskoka",35069
"Green Party of Canada - Parry Sound--Muskoka","Parry Sound—Muskoka",35069
"Parry Sound--Muskoka Conservative Association","Parry Sound—Muskoka",35069
"Parry Sound--Muskoka Federal NDP Riding Association","Parry Sound—Muskoka",35069
"Peace River Federal Liberal Association","Peace River",48022
"Peace River Federal Green Party Association","Peace River",48022
"Peace River Federal NDP Riding Association","Peace River",48022
"Peace River Conservative Association","Peace River",48022
"Perth--Wellington Federal Liberal Association","Perth—Wellington",35070
"Perth--Wellington Conservative Association","Perth—Wellington",35070
"Perth--Wellington EDA Green Party of Canada","Perth—Wellington",35070
"Perth--Wellington Federal NDP Riding Association","Perth—Wellington",35070
"Peterborough Federal Liberal Association","Peterborough",35071
"Peterborough Federal NDP Riding Association","Peterborough",35071
"Conservative Party of Canada Peterborough Electoral District Association","Peterborough",35071
"Peterborough Federal Green Party Association","Peterborough",35071
"Pickering--Scarborough East Federal NDP Riding Association","Pickering—Scarborough East",35072
"Pickering--Scarborough East Federal Green Party Association","Pickering—Scarborough East",35072
"Pickering--Scarborough East Conservative Association","Pickering—Scarborough East",35072
"Pickering--Scarborough East Federal Liberal Association","Pickering—Scarborough East",35072
"Pierrefonds--Dollard Federal Green Party Association","Pierrefonds—Dollard",24049
"Pierrefonds--Dollard Conservative Association","Pierrefonds—Dollard",24049
"Pierrefonds--Dollard Federal Liberal Association","Pierrefonds—Dollard",24049
"NDP Riding Association of Pierrefonds--Dollard","Pierrefonds—Dollard",24049
"Pitt Meadows--Maple Ridge--Mission Conservative Association","Pitt Meadows—Maple Ridge—Mission",59007
"Pitt Meadows--Maple Ridge--Mission Federal Liberal Association","Pitt Meadows—Maple Ridge—Mission",59007
"Pitt Meadows--Maple Ridge--Mission Federal NDP Riding Association","Pitt Meadows—Maple Ridge—Mission",59007
"Pontiac Federal NDP Riding Association","Pontiac",24050
"Pontiac Federal Green Party Association","Pontiac",24050
"Pontiac Conservative Association","Pontiac",24050
"Pontiac Federal Liberal Association","Pontiac",24050
"Port Moody--Westwood--Port Coquitlam Federal NDP Riding Association","Port Moody—Westwood—Port Coquitlam",59021
"Port Moody--Westwood--Port Coquitlam Federal Liberal Association","Port Moody—Westwood—Port Coquitlam",59021
"Port Moody--Westwood--Port Coquitlam Conservative Association","Port Moody—Westwood—Port Coquitlam",59021
"Portage--Lisgar Federal NDP Riding Association","Portage—Lisgar",46007
"Portage--Lisgar Federal Liberal Association","Portage—Lisgar",46007
"Portage Lisgar Federal Green Party Association","Portage—Lisgar",46007
"Portage--Lisgar Conservative Association","Portage—Lisgar",46007
"Association libérale fédérale de Portneuf--Jacques-Cartier","Portneuf—Jacques-Cartier",24051
"NPD Portneuf--Jacques-Cartier","Portneuf—Jacques-Cartier",24051
"Association du Parti conservateur Portneuf--Jacques-Cartier","Portneuf—Jacques-Cartier",24051
"Prince Albert Federal NDP Riding Association","Prince Albert",47006
"Prince Albert Federal Liberal Association","Prince Albert",47006
"Prince Albert Conservative Association","Prince Albert",47006
"Prince Edward--Hastings Federal Green Party","Prince Edward—Hastings",35073
"Prince Edward--Hastings Conservative Party Electoral District Association","Prince Edward—Hastings",35073
"Prince Edward--Hastings Federal NDP Riding Association","Prince Edward—Hastings",35073
"Prince Edward--Hastings Federal Liberal Association","Prince Edward—Hastings",35073
"Prince George--Peace River Federal Liberal Association","Prince George—Peace River",59022
"Green Party of Canada - Prince George--Peace River","Prince George—Peace River",59022
"Prince George--Peace River Federal NDP Riding Association","Prince George—Peace River",59022
"Prince George--Peace River Conservative Association","Prince George—Peace River",59022
"Provencher Conservative Association","Provencher",46008
"Provencher Federal Liberal Association","Provencher",46008
"Provencher Federal NDP Riding Association","Provencher",46008
"Quebec Federal NDP Riding Association","Québec",24052
"Association de circonscription du Bloc Québécois de Québec","Québec",24052
"Québec Conservative Association","Québec",24052
"Association de Québec du Parti Vert du Canada","Québec",24052
"Association libérale fédérale du comté de Québec","Québec",24052
"Random--Burin--St. George's Federal Liberal Association","Random—Burin—St. George's",10005
"Random--Burin--St. George's Conservative Association","Random—Burin—St. George's",10005
"Red Deer Federal Liberal Association","Red Deer",48023
"Red Deer Conservative Association","Red Deer",48023
"Red Deer Federal NDP Riding Association","Red Deer",48023
"Regina--Lumsden--Lake Centre Federal Liberal Association","Regina—Lumsden—Lake Centre",47007
"Regina--Lumsden--Lake Centre Federal NDP Riding Association","Regina—Lumsden—Lake Centre",47007
"Regina--Lumsden--Lake Centre Conservative Association","Regina—Lumsden—Lake Centre",47007
"Regina--Qu'Appelle Federal NDP Riding Association","Regina—Qu'Appelle",47008
"Regina--Qu'Appelle Federal Green Party Association","Regina—Qu'Appelle",47008
